interval,std,score,wick_ratio,cooldown,trades,win_rate,pnl
5,2.0,6,0.4,20,5,80.0,1546.955818168717
5,2.0,6,0.4,15,5,80.0,1546.955818168717
5,2.0,6,0.35,30,5,80.0,1546.955818168717
5,2.0,6,0.35,20,5,80.0,1546.955818168717
5,2.0,6,0.35,15,5,80.0,1546.955818168717
5,2.0,6,0.3,15,5,80.0,1546.955818168717
5,2.0,6,0.3,30,5,80.0,1546.955818168717
5,2.0,6,0.3,20,5,80.0,1546.955818168717
5,2.2,6,0.4,15,5,80.0,585.2322735475541
5,2.2,6,0.3,30,5,80.0,585.2322735475541
5,2.2,6,0.3,15,5,80.0,585.2322735475541
5,2.2,6,0.35,15,5,80.0,585.2322735475541
5,2.2,6,0.35,20,5,80.0,585.2322735475541
5,2.2,6,0.35,30,5,80.0,585.2322735475541
5,2.2,6,0.4,20,5,80.0,585.2322735475541
5,2.2,6,0.3,20,5,80.0,585.2322735475541
5,2.2,6,0.4,30,5,80.0,585.2322735475541
1,2.0,6,0.35,20,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.3,15,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.3,30,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.35,15,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.35,30,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.4,15,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.4,20,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.4,30,8,77.77777777777779,-211.1343543759267
1,2.0,6,0.3,20,8,77.77777777777779,-211.1343543759267
1,1.8,6,0.4,20,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.35,30,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.4,30,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.3,15,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.4,15,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.35,15,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.35,20,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.3,30,8,77.77777777777779,-303.9790809146416
1,1.8,6,0.3,20,8,77.77777777777779,-303.9790809146416
3,2.2,6,0.35,15,2,50.0,-1170.0
3,2.2,6,0.3,30,2,50.0,-1170.0
3,2.2,6,0.3,20,2,50.0,-1170.0
3,2.2,6,0.3,15,2,50.0,-1170.0
3,2.0,6,0.35,20,4,75.0,-1170.0
3,2.0,6,0.35,30,4,75.0,-1170.0
3,2.0,6,0.4,15,4,75.0,-1170.0
3,2.2,6,0.35,20,2,50.0,-1170.0
3,2.0,6,0.4,20,4,75.0,-1170.0
3,1.8,6,0.3,15,4,75.0,-1170.0
3,2.2,6,0.35,30,2,50.0,-1170.0
3,1.8,6,0.3,20,4,75.0,-1170.0
3,1.8,6,0.3,30,4,75.0,-1170.0
3,1.8,6,0.35,15,4,75.0,-1170.0
3,1.8,6,0.35,20,4,75.0,-1170.0
3,1.8,6,0.35,30,4,75.0,-1170.0
3,1.8,6,0.4,15,4,75.0,-1170.0
3,1.8,6,0.4,20,4,75.0,-1170.0
3,1.8,6,0.4,30,4,75.0,-1170.0
3,2.0,6,0.3,15,4,75.0,-1170.0
3,2.0,6,0.3,20,4,75.0,-1170.0
3,2.0,6,0.3,30,4,75.0,-1170.0
3,2.0,6,0.35,15,4,75.0,-1170.0
3,2.2,6,0.4,30,2,50.0,-1170.0
3,2.2,6,0.4,20,2,50.0,-1170.0
3,2.2,6,0.4,15,2,50.0,-1170.0
3,2.0,6,0.4,30,4,75.0,-1170.0
