time,vwap,ema9,ema21,ema50,ema200,atr,adx,rsi,volume,vix,regime,setup,signal,score
2025-06-04 05:34:00,0.0,24587.76,24588.75,24587.76,24588.75,4.33,20.0,45.14,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:35:00,0.0,24587.66,24588.62,24587.66,24588.62,4.39,20.0,47.73,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:36:00,0.0,24587.76,24588.58,24587.76,24588.58,4.28,20.0,53.89,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:37:00,0.0,24587.82,24588.53,24587.82,24588.53,4.17,20.0,59.88,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:38:00,0.0,24587.98,24588.54,24587.98,24588.54,4.1,20.0,61.46,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:39:00,0.0,24587.68,24588.35,24587.68,24588.35,3.86,20.0,58.27,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:40:00,0.0,24588.17,24588.51,24588.17,24588.51,3.64,20.0,60.9,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:41:00,0.0,24588.95,24588.83,24588.95,24588.83,3.8,20.0,64.83,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:42:00,0.0,24589.38,24589.04,24589.38,24589.04,3.74,20.0,60.04,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:43:00,0.0,24587.92,24588.41,24587.92,24588.41,4.07,20.0,39.67,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:44:00,0.0,24586.65,24587.79,24586.65,24587.79,3.95,20.0,31.46,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:45:00,0.0,24585.43,24587.13,24585.43,24587.13,3.93,20.0,32.42,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:46:00,0.0,24583.26,24585.99,24583.26,24585.99,4.3,20.0,27.62,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:47:00,0.0,24581.68,24585.02,24581.68,24585.02,4.18,20.0,31.25,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:48:00,0.0,24580.11,24584.01,24580.11,24584.01,4.12,20.0,32.54,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 05:49:00,0.0,24580.63,24583.89,24580.63,24583.89,4.44,20.0,44.01,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:50:00,0.0,24581.53,24584.0,24581.53,24584.0,4.66,20.0,46.2,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:51:00,0.0,24582.09,24584.03,24582.09,24584.03,4.65,20.0,45.34,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 05:52:00,0.0,24583.33,24584.42,24583.33,24584.42,4.87,20.0,49.6,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:53:00,0.0,24584.46,24584.83,24584.46,24584.83,4.9,20.0,53.02,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:54:00,0.0,24585.9,24585.45,24585.9,24585.45,4.82,20.0,51.82,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:55:00,0.0,24587.84,24586.38,24587.84,24586.38,4.83,20.0,54.11,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:56:00,0.0,24588.81,24586.95,24588.81,24586.95,5.0,20.0,51.77,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 05:57:00,0.0,24589.89,24587.61,24589.89,24587.61,4.51,20.0,66.09,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:58:00,0.0,24590.87,24588.26,24590.87,24588.26,4.66,20.0,67.6,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 05:59:00,0.0,24590.78,24588.46,24590.78,24588.46,4.8,20.0,62.0,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 06:00:00,0.0,24591.6,24589.04,24591.6,24589.04,4.68,20.0,75.63,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:01:00,0.0,24593.14,24589.98,24593.14,24589.98,4.82,20.0,77.69,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:02:00,0.0,24593.99,24590.65,24593.99,24590.65,4.8,20.0,76.98,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:03:00,0.0,24594.09,24591.0,24594.09,24591.0,4.45,20.0,65.65,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:04:00,0.0,24594.26,24591.36,24594.26,24591.36,4.29,20.0,63.67,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:05:00,0.0,24595.07,24591.99,24595.07,24591.99,4.35,20.0,68.37,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:06:00,0.0,24596.25,24592.81,24596.25,24592.81,4.28,20.0,67.16,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:07:00,0.0,24596.37,24593.17,24596.37,24593.17,4.39,20.0,59.75,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:08:00,0.0,24596.49,24593.52,24596.49,24593.52,4.46,20.0,57.03,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:09:00,0.0,24596.88,24593.97,24596.88,24593.97,4.38,20.0,54.04,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 06:10:00,0.0,24597.05,24594.31,24597.05,24594.31,4.2,20.0,57.64,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:11:00,0.0,24596.48,24594.3,24596.48,24594.3,4.23,20.0,50.0,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:12:00,0.0,24595.62,24594.1,24595.62,24594.1,4.25,20.0,46.37,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:13:00,0.0,24595.0,24593.96,24595.0,24593.96,4.13,20.0,53.3,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 06:14:00,0.0,24594.54,24593.85,24594.54,24593.85,3.91,20.0,46.1,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 06:15:00,0.0,24594.32,24593.81,24594.32,24593.81,3.75,20.0,38.09,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 06:16:00,0.0,24594.21,24593.81,24594.21,24593.81,3.64,20.0,42.05,0.0,15.0,Checklist,Checklist Setup,HOLD,3
